,Company Name,Industry,Symbol,Series,ISIN Code,m_cap
254,Orient Electric Ltd.,Consumer Durables,ORIENTELEC,EQ,INE142Z01019,4912.7
255,PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,35656.2
256,PCBL Ltd.,Chemicals,PCBL,EQ,INE602A01031,9653.6
257,PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,52370.8
258,PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012,20413.5
259,PNC Infratech Ltd.,Construction,PNCINFRA,EQ,INE195J01029,9017.4
260,PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014,16261.2
261,Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,41899.3
262,Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,58567.2
263,Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01013,56605.6
264,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014,32347.5
265,Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018,19359.7
266,Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,41179.5
267,Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,135694.4
268,Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024,20284.9
269,Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,18337.2
270,Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021,13844.2
271,Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,81004.3
272,Polyplex Corporation Ltd.,Capital Goods,POLYPLEX,EQ,INE633B01018,3186.0
273,Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022,33841.6
274,Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025,10239.3
275,Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN,EQ,INE010A01011,9161.1
276,Procter & Gamble Health Ltd.,Healthcare,PGHL,EQ,INE199A01012,8219.3
277,Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,97447.5
278,Quess Corp Ltd.,Services,QUESS,EQ,INE615P01015,7584.3
279,RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,15701.3
280,REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,110332.1
281,Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,37248.9
282,Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,EQ,INE343B01030,10658.9
